RunGroup,BlockOnFailure,VmID,VmName,SourceCloudDetails,OsType,BootFirmware,NumCPU,MemoryGB,NumDisks,ProvisionedSpaceGB,TargetCloudExtension,TargetEdgeNode,WriteIsolation,TargetInstanceType,TargetInstanceName,TargetSubnet,TargetStaticIP,TargetPublicIP,UpgradeOS,GcpEphemeralPublicIp,GcpProject,GcpNetworkTags,"GcpInstanceServiceAccount",GcpDiskType,GcpSecureBoot,license:os,ProbeTCPPort,ProbeWaitMinutes
-1,false,vm-28,"migrate_for_gce_4.11.7.35548",,"Ubuntu Linux (64-bit)",BIOS,2,4.0,2,52,ce-16,NodeA,false,,migrateforgce411735548,"https://www.googleapis.com/compute/v1/projects/migrate-16-5977/regions/us-west2/subnetworks/us-west2-subnet",,,false,false,migrate-16-5977,"testtag1,testtag2","526450699415-compute@developer.gserviceaccount.com",SSD,false,,22,5
-1,false,vm-17,netservicesvm,,"Other (32-bit)",BIOS,4,4.0,2,23,ce-16,NodeA,false,,netservicesvm,"https://www.googleapis.com/compute/v1/projects/migrate-16-5977/regions/us-west2/subnetworks/us-west2-subnet",,,false,false,migrate-16-5977,"testtag1,testtag2","526450699415-compute@developer.gserviceaccount.com",SSD,false,,22,5
-1,false,vm-18,bastion-host,,"Ubuntu Linux (64-bit)",BIOS,2,4.0,1,12,ce-16,NodeA,false,,bastion-host,"https://www.googleapis.com/compute/v1/projects/migrate-16-5977/regions/us-west2/subnetworks/us-west2-subnet",,,false,false,migrate-16-5977,"testtag1,testtag2","526450699415-compute@developer.gserviceaccount.com",SSD,false,,22,5
-1,false,vm-19,ubuntu-01,,"Ubuntu Linux (64-bit)",BIOS,1,2.0,1,4,ce-16,NodeA,false,,ubuntu-01,"https://www.googleapis.com/compute/v1/projects/migrate-16-5977/regions/us-west2/subnetworks/us-west2-subnet",,,false,false,migrate-16-5977,"testtag1,testtag2","526450699415-compute@developer.gserviceaccount.com",SSD,false,,22,5
-1,false,vm-20,"vCenter Appliance",,"Other 3.x Linux (64-bit)",BIOS,2,10.0,13,22,ce-16,NodeA,false,,vcenter-appliance,"https://www.googleapis.com/compute/v1/projects/migrate-16-5977/regions/us-west2/subnetworks/us-west2-subnet",,,false,false,migrate-16-5977,"testtag1,testtag2","526450699415-compute@developer.gserviceaccount.com",SSD,false,,22,5
-1,false,vm-22,centos7-base,,"CentOS 7 (64-bit)",BIOS,1,2.0,1,3,ce-16,NodeA,false,,centos7-base,"https://www.googleapis.com/compute/v1/projects/migrate-16-5977/regions/us-west2/subnetworks/us-west2-subnet",,,false,false,migrate-16-5977,"testtag1,testtag2","526450699415-compute@developer.gserviceaccount.com",SSD,false,,22,5
-1,false,vm-23,centos7-multiFS,,"CentOS 7 (64-bit)",BIOS,1,2.0,3,3,ce-16,NodeA,false,,centos7-multifs,"https://www.googleapis.com/compute/v1/projects/migrate-16-5977/regions/us-west2/subnetworks/us-west2-subnet",,,false,false,migrate-16-5977,"testtag1,testtag2","526450699415-compute@developer.gserviceaccount.com",SSD,false,,22,5
-1,false,vm-24,centos7-multiVG,,"CentOS 7 (64-bit)",BIOS,1,2.0,3,3,ce-16,NodeA,false,,centos7-multivg,"https://www.googleapis.com/compute/v1/projects/migrate-16-5977/regions/us-west2/subnetworks/us-west2-subnet",,,false,false,migrate-16-5977,"testtag1,testtag2","526450699415-compute@developer.gserviceaccount.com",SSD,false,,22,5
-1,false,vm-25,centos7-multinic,,"CentOS 7 (64-bit)",BIOS,1,2.0,1,3,ce-16,NodeA,false,,centos7-multinic,"https://www.googleapis.com/compute/v1/projects/migrate-16-5977/regions/us-west2/subnetworks/us-west2-subnet",,,false,false,migrate-16-5977,"testtag1,testtag2","526450699415-compute@developer.gserviceaccount.com",SSD,false,,22,5
-1,false,vm-26,centos8-base,,"CentOS 7 (64-bit)",BIOS,1,2.0,1,4,ce-16,NodeA,false,,centos8-base,"https://www.googleapis.com/compute/v1/projects/migrate-16-5977/regions/us-west2/subnetworks/us-west2-subnet",,,false,false,migrate-16-5977,"testtag1,testtag2","526450699415-compute@developer.gserviceaccount.com",SSD,false,,22,5
-1,false,vm-27,centos8-multinic,,"Other (32-bit)",BIOS,1,2.0,1,4,ce-16,NodeA,false,,centos8-multinic,"https://www.googleapis.com/compute/v1/projects/migrate-16-5977/regions/us-west2/subnetworks/us-west2-subnet",,,false,false,migrate-16-5977,"testtag1,testtag2","526450699415-compute@developer.gserviceaccount.com",SSD,false,,22,5
